,id,title,subtitle,sq_mt_built,sq_mt_useful,n_rooms,n_bathrooms,n_floors,sq_mt_allotment,raw_address,is_exact_address_hidden,street_name,street_number,portal,floor,is_floor_under,door,neighborhood_id,operation,rent_price,rent_price_by_area,is_rent_price_known,buy_price,buy_price_by_area,is_buy_price_known,house_type_id,is_renewal_needed,is_new_development,built_year,has_central_heating,has_individual_heating,are_pets_allowed,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,is_furnished,is_kitchen_equipped,is_accessible,has_green_zones,energy_certificate,has_parking,has_private_parking,has_public_parking,is_parking_included_in_price,parking_price,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east,full_title,zip_code,latitude,longitude
132682,8836,"calle Gerardo Cordón, 42",VENTAS,50.0,,1,1.0,,,"Calle Gerardo Cordón, 42",False,Calle Gerardo Cordón,42,,Bajo,True,,Neighborhood 42: Ventas (2686.93 €/m2) - District 7: Ciudad Lineal,sale,773,,False,158000,3160,True,HouseType 1: Pisos,False,False,2007.0,False,True,,True,True,True,True,,,,,True,,,,,en trámite,True,,,False,23000.0,,,,,"calle Gerardo Cordón, 42, Ventas, Madrid",28017.0,40.4270537,-3.6531323
132686,8835,"calle Gerardo Cordón, 42",VENTAS,55.0,,1,1.0,,,"Calle Gerardo Cordón, 42",False,Calle Gerardo Cordón,42,,Bajo,True,,Neighborhood 42: Ventas (2686.93 €/m2) - District 7: Ciudad Lineal,sale,762,,False,155000,2818,True,HouseType 1: Pisos,False,False,2007.0,False,True,,True,True,True,True,,,,,True,,,,,en trámite,True,,,False,23000.0,,,,,"calle Gerardo Cordón, 42, Ventas, Madrid",28017.0,40.4270537,-3.6531323
132690,8042,"calle Gerardo Cordón, 42",VENTAS,47.0,,1,1.0,,,"Calle Gerardo Cordón, 42",False,Calle Gerardo Cordón,42,,2,False,,Neighborhood 42: Ventas (2686.93 €/m2) - District 7: Ciudad Lineal,sale,827,,False,173000,3681,True,HouseType 1: Pisos,False,False,,False,True,,True,True,True,True,,,,,True,,,,,en trámite,False,,,,,,,,,"calle Gerardo Cordón, 42, Ventas, Madrid",28017.0,40.4270537,-3.6531323
132694,8881,calle Mateo García,VENTAS,51.0,39.0,2,1.0,,,Calle Mateo García,True,Calle Mateo García,,,2,False,,Neighborhood 42: Ventas (2686.93 €/m2) - District 7: Ciudad Lineal,sale,638,,False,123155,2415,True,HouseType 1: Pisos,True,False,,,,,,,True,False,,,,True,,,,,,en trámite,False,,,,,,,,,"calle Mateo García, Ventas, Madrid",28017.0,40.4308386,-3.6528884
132697,8253,calle Mateo García,VENTAS,58.0,55.0,3,1.0,,,Calle Mateo García,True,Calle Mateo García,,,2,False,,Neighborhood 42: Ventas (2686.93 €/m2) - District 7: Ciudad Lineal,sale,910,,False,198000,3414,True,HouseType 1: Pisos,False,False,,False,True,,True,True,False,True,,,,,,,,,,en trámite,False,,,,,False,False,False,True,"calle Mateo García, Ventas, Madrid",28017.0,40.4308386,-3.6528884
132700,8095,calle Mateo García,VENTAS,75.0,69.0,2,1.0,,,Calle Mateo García,True,Calle Mateo García,,,4,False,,Neighborhood 42: Ventas (2686.93 €/m2) - District 7: Ciudad Lineal,sale,979,,False,219900,2932,True,HouseType 1: Pisos,True,False,1962.0,False,True,,,True,True,True,,,True,True,,,,True,True,en trámite,False,,,,,False,True,False,False,"calle Mateo García, Ventas, Madrid",28017.0,40.4308386,-3.6528884
132703,8878,calle Manuel María Iglesias,SAN JUAN BAUTISTA,238.0,,5,4.0,,,Calle Manuel María Iglesias,True,Calle Manuel María Iglesias,,,4,False,,Neighborhood 46: San Juan Bautista (4098.7 €/m2) - District 7: Ciudad Lineal,sale,2495,,False,1020000,4286,True,HouseType 1: Pisos,False,False,1977.0,True,False,,True,True,True,True,,True,True,,True,,,,True,en trámite,True,,,True,0.0,,,,,"calle Manuel María Iglesias, San Juan Bautista, Madrid",28043.0,40.4517507,-3.6530707
132704,8876,calle del Poeta Blas de Otero,VENTAS,77.0,,3,1.0,,,Calle del Poeta Blas de Otero,True,Calle del Poeta Blas de Otero,,,1,False,,Neighborhood 42: Ventas (2686.93 €/m2) - District 7: Ciudad Lineal,sale,758,,False,154000,2000,True,HouseType 1: Pisos,True,False,1961.0,False,True,,,,True,True,,,,,,,,,,G,False,,,,,False,False,False,True,"calle del Poeta Blas de Otero, Ventas, Madrid",28017.0,40.4206622,-3.6544331
132711,8870,calle del Poeta Blas de Otero,VENTAS,52.0,,2,1.0,,,Calle del Poeta Blas de Otero,True,Calle del Poeta Blas de Otero,,,4,False,,Neighborhood 42: Ventas (2686.93 €/m2) - District 7: Ciudad Lineal,sale,702,,False,139000,2673,True,HouseType 1: Pisos,True,False,,,,,,,False,True,,,,,,,,,,G,False,,,,,False,False,False,True,"calle del Poeta Blas de Otero, Ventas, Madrid",28017.0,40.4206622,-3.6544331
132718,8722,calle del Poeta Blas de Otero,VENTAS,56.0,50.0,2,1.0,,,Calle del Poeta Blas de Otero,True,Calle del Poeta Blas de Otero,,,1,False,,Neighborhood 42: Ventas (2686.93 €/m2) - District 7: Ciudad Lineal,sale,705,,False,139900,2498,True,HouseType 1: Pisos,False,False,,False,True,,,True,False,True,,,,,,,,,,en trámite,False,,,,,,,,,"calle del Poeta Blas de Otero, Ventas, Madrid",28017.0,40.4206622,-3.6544331
