,id,subtitle,sq_mt_built,sq_mt_useful,n_rooms,n_bathrooms,floor,is_floor_under,operation,buy_price,house_type_id,is_renewal_needed,is_new_development,has_central_heating,has_individual_heating,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_terrace,has_storage_room,energy_certificate,has_parking,full_title,zip_code,latitude,longitude,zip_codes_count,hosts_count_per_zip_code,hosts_distribution_per_zip_code,average_reviews_per_month_per_code,price_per_m2,buy_for_rent_ratio
133618,8591,COSTILLARES,119.0,,2,2.0,1,0.0,sale,535000,HouseType 1: Pisos,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,,en trámite,1,"calle Yerma, 8 -10, Costillares, Madrid",28033,40.47543795,-3.671598559794872,151,119,0.21192052980132448,26.7625,4235.69,0.41244755872124733
133619,8590,VENTAS,56.0,,2,1.0,6,0.0,sale,199000,HouseType 1: Pisos,0,0.0,,,,,1.0,1.0,1.0,,en trámite,0,"calle San Marcelo, 12, Ventas, Madrid",28017,40.426764950000006,-3.656807888796923,327,268,0.18042813455657492,27.03333333333333,2686.93,0.339792997956776
133620,8589,COSTILLARES,210.0,200.0,4,3.0,1,0.0,sale,840000,HouseType 1: Pisos,0,0.0,0.0,1.0,,,1.0,1.0,,1.0,no indicado,1,"pasaje Caleruega, 7, Costillares, Madrid",28033,40.4800576,-3.67213,151,119,0.21192052980132448,26.7625,4235.69,0.5670858821112972
133621,8588,QUINTANA,145.0,135.0,4,2.0,3,0.0,sale,525000,HouseType 1: Pisos,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,no indicado,0,"calle de la Argentina, 2 -4, Quintana, Madrid",28027,40.4341627,-3.6490757,233,192,0.1759656652360515,25.338888888888892,2900.58,0.594363885843521
133622,8582,ATALAYA,51.0,,1,1.0,1,0.0,sale,307900,HouseType 1: Pisos,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,,en trámite,1,"Mesena, 39, Atalaya, Madrid",28033,40.4657431,-3.6629416,151,119,0.21192052980132448,26.7625,None,0.0
133623,8577,VENTAS,70.0,,3,1.0,1,0.0,sale,153000,HouseType 1: Pisos,0,,,,,,1.0,1.0,1.0,,en trámite,0,"calle de Pedrezuela, Ventas, Madrid",28017,40.4284531,-3.6535742,327,268,0.18042813455657492,27.03333333333333,2686.93,0.2809898285403788
133624,8575,PUEBLO NUEVO,60.0,50.0,2,1.0,5,0.0,sale,179900,HouseType 1: Pisos,0,0.0,0.0,1.0,,1.0,1.0,1.0,,,en trámite,0,"gandhi, 67, Pueblo Nuevo, Madrid",28017,40.4256955,-3.6311521,327,268,0.18042813455657492,27.03333333333333,2578.87,0.3296017247864375
133625,8568,QUINTANA,148.0,,5,2.0,Bajo,1.0,sale,190000,HouseType 1: Pisos,0,0.0,0.0,1.0,,,1.0,1.0,,,F,0,"calle de Siena, Quintana, Madrid",28027,40.4331681,-3.6522997,233,192,0.1759656652360515,25.338888888888892,2900.58,0.3047666328803205
133626,8563,PUEBLO NUEVO,68.0,,3,1.0,Bajo,1.0,sale,149000,HouseType 1: Pisos,0,0.0,,,,,1.0,1.0,,,en trámite,0,"calle Madres Plaza de Mayo, Pueblo Nuevo, Madrid",28017,40.433437,-3.6405933,327,268,0.18042813455657492,27.03333333333333,2578.87,0.28694738393172203
133627,8559,SAN PASCUAL,50.0,40.0,2,1.0,6,0.0,sale,165000,HouseType 1: Pisos,0,0.0,,,,1.0,1.0,1.0,1.0,,en trámite,0,"calle de Torrelaguna, San Pascual, Madrid",28027,40.4443842,-3.6548461,233,192,0.1759656652360515,25.338888888888892,4015.76,0.19871705480407195
