,full_title,latitude,longitude
147,"calle de Beniferri, San Cristóbal, Madrid",40.3446825,-3.690072
148,"Los Rosales, Villaverde, Madrid",40.3571948,-3.6894484
149,"BENITA LOPEZ, Los Rosales, Madrid",40.3517311,-3.6898436
150,"calle de la Esmaltina, 1, Butarque, Madrid",40.3412093,-3.6769006
151,"calle la Dolorosa, 10, Los Ángeles, Madrid",40.35528375,-3.6946744146376806
152,"calle Eduardo Barreiros, 128, Los Ángeles, Madrid",40.353262,-3.7054518
153,"calle Vicente Carballal, Butarque, Madrid",40.351853,-3.6824616
154,"calle María Barrientos, 4, Los Rosales, Madrid",40.3549039,-3.6863778
155,"Los Ángeles, Villaverde, Madrid",40.3562217,-3.6996388
156,"burjasot, San Cristóbal, Madrid",40.3444808,-3.6870123
157,"Los Rosales, Villaverde, Madrid",40.3571948,-3.6894484
158,"LEONOR GONGORA, Los Rosales, Madrid",40.3479925,-3.6862599
159,"calle Santa Florencia, 15, Los Rosales, Madrid",40.3484493,-3.6908676
160,"calle Villajoyosa, Los Rosales, Madrid",40.3561428,-3.6909651
161,"calle Villajoyosa, Los Rosales, Madrid",40.3561428,-3.6909651
162,"calle Ciudadanía, Los Rosales, Madrid",40.3565701,-3.6911519
163,"calle Arechavaleta, Los Ángeles, Madrid",40.3525024,-3.6969414
164,"calle Platino, Los Rosales, Madrid",40.3489826,-3.689214
165,"calle de Rocafort, San Cristóbal, Madrid",40.3421917,-3.6861721
166,"BENIFERRI, San Cristóbal, Madrid",40.3443699,-3.6909654
167,"paseo de Gigantes y Cabezudos, 42, Los Ángeles, Madrid",40.35600685,-3.6938880510558985
168,"calle Limonita, 6, Butarque, Madrid",40.3439468,-3.6759839
169,"Azufre, 3, Los Rosales, Madrid",40.349198,-3.6857459
170,"San Andrés, Villaverde, Madrid",40.3455389,-3.7109697
171,"Los Ángeles, Villaverde, Madrid",40.3562217,-3.6996388
172,"calle del Estroncio, 11, Los Rosales, Madrid",40.3474954,-3.6903199
173,"San Andrés, Villaverde, Madrid",40.3455389,-3.7109697
174,"Los Ángeles, Villaverde, Madrid",40.3562217,-3.6996388
175,"San Andrés, Villaverde, Madrid",40.3455389,-3.7109697
176,"San Andrés, Villaverde, Madrid",40.3455389,-3.7109697
