,sq_mt_built,sq_mt_useful,n_rooms,n_bathrooms,floor,is_floor_under,is_renewal_needed,is_new_development,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_terrace,has_storage_room,has_parking,zip_codes_count,hosts_distribution_per_zip_code,average_reviews_per_month_per_code,price_per_m2,buy_for_rent_ratio,buy_price
4811,1.6794156329781622,-0.04374911849207479,1.8455137957272374,2.071291995509513,-0.05210316191736873,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,439,1.8200475581262772,-0.08692679136918784,5000.0,0.7841946833476794,750000
4812,-0.8572698005435085,-0.04374911849207479,-0.6472329056664874,-0.914553067122716,-0.05210316191736873,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,543,1.599606699798312,-0.5000390995233092,5640.18,-1.4376184324728856,335000
4813,-2.2129635806660173,-0.04374911849207479,-1.8792072921204446,-0.914553067122716,-0.05210316191736873,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,439,1.8200475581262772,-0.08692679136918784,5000.0,-1.6404032633877317,248000
4814,-0.735591621701328,-0.04374911849207479,0.34986577489100246,0.9170032716551278,-1.7396549814731244,1.0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,439,1.8200475581262772,-0.08692679136918784,5000.0,-1.4524135152031195,275000
4815,-2.753111411974081,-0.04374911849207479,-1.8792072921204446,-0.914553067122716,0.8696511352843243,0.0,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,270,0.053793061887698036,-0.29249703541147476,4548.3,-1.9132592095640761,186000
4816,-1.2723836439093448,-0.04374911849207479,-0.6472329056664874,-0.914553067122716,1.2223713476666274,0.0,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,439,1.8200475581262772,-0.08692679136918784,5000.0,-0.8962408448006575,369000
4817,1.153626305204341,-0.04374911849207479,1.2022174167796287,0.9170032716551278,0.8696511352843243,0.0,0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,270,0.053793061887698036,-0.29249703541147476,4548.3,1.062130755336643,729000
4818,0.6743979335170979,-0.04374911849207479,0.34986577489100246,0.9170032716551278,-0.7189315926247088,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,439,1.8200475581262772,-0.08692679136918784,4869.57,-0.49967230303378324,430000
4819,-1.376887370261723,-0.04374911849207479,-0.6472329056664874,-0.914553067122716,0.45527431502984744,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,270,0.053793061887698036,-0.29249703541147476,4548.3,-1.2110620069803255,270000
4820,-0.21882079675648652,-0.04374911849207479,-0.6472329056664874,0.9170032716551278,-0.05210316191736873,0.0,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,543,1.599606699798312,-0.5000390995233092,5640.18,-0.7865795393444273,470000
