,sq_mt_built,sq_mt_useful,n_rooms,n_bathrooms,floor,is_floor_under,is_renewal_needed,is_new_development,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_terrace,has_storage_room,has_parking,zip_codes_count,hosts_distribution_per_zip_code,average_reviews_per_month_per_code,price_per_m2,buy_for_rent_ratio,buy_price
5243,64.0,75.0,2.0,1.0,5.0,0.0,1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,233,0.1759656652360515,25.33888888888889,4015.76,0.2258601111620216,197000
5244,60.0,75.0,2.0,1.0,3.0,0.0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0,327,0.1804281345565749,27.03333333333333,2686.93,0.2835950322487002,155000
5246,57.0,75.0,2.0,1.0,2.0,0.0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,327,0.1804281345565749,27.03333333333333,2686.93,0.2902941274986695,160000
5247,63.0,75.0,3.0,1.0,3.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,327,0.1804281345565749,27.03333333333333,2686.93,0.2809898285403788,153000
5248,65.0,75.0,3.0,1.0,3.0,0.0,1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,327,0.1804281345565749,27.03333333333333,2686.93,0.2809898285403788,153000
5249,65.0,75.0,3.0,1.0,3.0,0.0,1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,327,0.1804281345565749,27.03333333333333,2686.93,0.2809898285403788,153000
5250,86.0,75.0,3.0,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,327,0.1804281345565749,27.03333333333333,2686.93,0.3349547624984648,194900
5251,74.0,75.0,3.0,1.0,4.0,0.0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,327,0.1804281345565749,27.03333333333333,2686.93,0.2835950322487002,155000
5252,45.0,75.0,2.0,1.0,0.0,1.0,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,327,0.1804281345565749,27.03333333333333,2578.87,0.2660079802394072,135000
5253,56.0,75.0,1.0,1.0,3.0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,327,0.1804281345565749,27.03333333333333,2578.87,0.3493778282736237,195000
5254,75.0,75.0,3.0,1.0,2.0,0.0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,327,0.1804281345565749,27.03333333333333,2578.87,0.31641765579498,169900
5255,73.0,75.0,2.0,1.0,7.0,0.0,0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,233,0.1759656652360515,25.33888888888889,3341.09,0.3358185502336064,270000
5256,81.0,75.0,3.0,1.0,1.0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,327,0.1804281345565749,27.03333333333333,2686.93,0.4224151727063973,275000
5257,149.0,75.0,4.0,2.0,8.0,0.0,0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1,327,0.1804281345565749,27.03333333333333,2578.87,0.6474281065091623,630000
5258,54.0,75.0,2.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,327,0.1804281345565749,27.03333333333333,2686.93,0.2478665242488639,130000
5259,89.0,75.0,3.0,1.0,3.0,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,233,0.1759656652360515,25.33888888888889,2900.58,0.4040571196105607,289000
5260,114.0,75.0,3.0,1.0,8.5,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,233,0.1759656652360515,25.33888888888889,2900.58,0.3764764288521606,259000
5262,79.0,75.0,3.0,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1,327,0.1804281345565749,27.03333333333333,2686.93,0.3811040853315866,235000
5263,72.0,75.0,2.0,1.0,1.0,0.0,0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0,233,0.1759656652360515,25.33888888888889,3341.09,0.3046909840800457,233000
5264,140.0,75.0,4.0,3.0,5.0,0.0,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1,151,0.2119205298013244,26.7625,4235.69,0.3935604352537603,500000
5266,108.0,75.0,4.0,2.0,3.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,327,0.1804281345565749,27.03333333333333,2578.87,0.4242168081368971,259900
5267,116.0,75.0,3.0,2.0,2.0,0.0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,233,0.1759656652360515,25.33888888888889,3341.09,0.4390782648776297,412000
5268,55.0,75.0,2.0,1.0,2.0,0.0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,327,0.1804281345565749,27.03333333333333,2686.93,0.2809898285403788,153000
5269,96.0,75.0,2.0,2.0,2.0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,151,0.2119205298013244,26.7625,4235.69,0.3682989076159965,453000
